Author,App,App ID,Total
A D,Adobe Acrobat Reader: PDF Viewer;Adobe Lightroom - Photo Editor;Basketball Stars;EA SPORTS UFC®;EA SPORTS™ FIFA 19 Companion;Google Duo - High Quality Video Calls;Google Photos;Google Photos;Google Photos;Google Play Music;Intune Company Portal;My Boo - Your Virtual Pet Game;Toca Kitchen 2,com.adobe.reader;com.adobe.lrmobile;com.miniclip.basketballstars;com.ea.game.easportsufc_row;com.ea.gp.fifaultimate;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.music;com.microsoft.windowsintune.companyportal;br.com.tapps.myboo;com.tocaboca.tocakitchen2,13
A DINDA,Contacts;Microsoft Office Lens - PDF Scanner,com.google.android.contacts;com.microsoft.office.officelens,2
A Dale,Highway Wars;Twin Flames,org.hostedgames.highwaywars;org.hostedgames.twinflames,2
A Damodara Naidu,Google Duo - High Quality Video Calls;Virus Cleaner 2019 - Antivirus,com.google.android.apps.tachyon;com.ehawk.antivirus.applock.wifi,2
A Davis,Google Duo - High Quality Video Calls;Midnight Castle: Hidden Object;My Boo - Your Virtual Pet Game,com.google.android.apps.tachyon;com.bigfishgames.mcgooglef2p;br.com.tapps.myboo,3
A Dean,Candy Crush Jelly Saga;Candy Crush Soda Saga,com.king.candycrushjellysaga;com.king.candycrushsodasaga,2
A Demoss,Bakery Story™;Fashion Story: Pink Punk,com.teamlava.bakerystory;com.teamlava.fashionstory44,2
A Diaz,Google Duo - High Quality Video Calls;Google Photos;Google Photos;Google Play Music,com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.music,4
A Dragon,Google Duo - High Quality Video Calls;Google Photos;Google Play Movies & TV;Google Play Music,com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.videos;com.google.android.music,4
A E Farkas,FreeCell Solitaire;Google Play Music,com.harpan.freecellGooglePlay;com.google.android.music,2
A E,Candy Crush Soda Saga;Facebook Pages Manager,com.king.candycrushsodasaga;com.facebook.pages.app,2
A F,Candy Crush Saga;Chrome Beta;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Photos;Google Photos;Video Downloader - for Instagram Repost App,com.king.candycrushsaga;com.chrome.beta;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos;com.popularapp.videodownloaderforinstagram,7
A Fearless Foe,Candy Crush Jelly Saga;Candy Crush Saga,com.king.candycrushjellysaga;com.king.candycrushsaga,2
A Fields,Bakery Story™;Hotspot Shield Free VPN Proxy & Wi-Fi Security,com.teamlava.bakerystory;hotspotshield.android.vpn,2
A Fleming,Candy Crush Saga;Castle Clash: Heroes of the Empire US,com.king.candycrushsaga;com.igg.castleclash,2
A Ford,AlphaBetty Saga;Spades Plus - Card Game,com.king.alphabettysaga;net.peakgames.mobile.spades.android,2
A Frederick,Atomic Bomber;Castle Clash: Heroes of the Empire US,org.lukeallen.bomber;com.igg.castleclash,2
A Free,Pocket Harvest Lite;Pocket Stables Lite,net.kairosoft.android.noujou_enL;net.kairosoft.android.horse_enL,2
A Freelance Animator,Candy Crush Jelly Saga;Google Pinyin Input,com.king.candycrushjellysaga;com.google.android.inputmethod.pinyin,2
A Freeman,Google Photos;Google Play Movies & TV,com.google.android.apps.photos;com.google.android.videos,2
A G स्थितिक्षा,Google Docs;Google Play Music,com.google.android.apps.docs.editors.docs;com.google.android.music,2
A G,101-in-1 Games Anthology;Draw Something Classic;Family Shared Calendar: FamCal;Google Docs;Google Duo - High Quality Video Calls;Google Photos;Google Photos;Google Photos;Google Photos;Google Photos;Hotspot Shield Free VPN Proxy & Wi-Fi Security;Rocket Music Player,com.nordcurrent.Games101in1Anthology;com.omgpop.dstfree;com.appxy.famcal;com.google.android.apps.docs.editors.docs;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;hotspotshield.android.vpn;com.jrtstudio.AnotherMusicPlayer,12
A Garcia,Bejeweled Classic;Jewel Match King;Papa Pear Saga;Samsung Smart View,com.ea.gp.bej3;com.bitmango.go.jewelmatchking;com.midasplayer.apps.papapearsaga;com.samsung.smartviewad,4
A Ghale,Google Photos;Make7! Hexa Puzzle,com.google.android.apps.photos;com.bitmango.go.make7hexapuzzle,2
A Gok,Block Craft 3D: Building Simulator Games For Free;Flashlight: LED Light,com.fungames.blockcraft;com.lampe.torcher.flashlight,2
A Goldstein,Chrome Beta;Google Photos,com.chrome.beta;com.google.android.apps.photos,2
A Guy,Castle Clash: Heroes of the Empire US;MAX Cleaner - Antivirus,com.igg.castleclash;com.oneapp.max.cleaner.booster,2
A H,Bejeweled Classic;Chess Free;EA SPORTS UFC®;EA SPORTS™ FIFA 19 Companion;Google Photos;Google Play Music;Hop;Hotspot Shield Free VPN Proxy & Wi-Fi Security;Let's Create! Pottery Lite;MX Player;Microsoft Office Lens - PDF Scanner;Microsoft Remote Desktop;Modern Combat 3: Fallen Nation,com.ea.gp.bej3;uk.co.aifactory.chessfree;com.ea.game.easportsufc_row;com.ea.gp.fifaultimate;com.google.android.apps.photos;com.google.android.music;com.ketchapp.hop;hotspotshield.android.vpn;pl.idreams.potterylite;com.mxtech.videoplayer.ad;com.microsoft.office.officelens;com.microsoft.rdc.android;com.gameloft.android.ANMP.GloftM3HM,13
A HC,Castle Clash: Pelotão Valente;Castle Clash: War of Heroes RU,com.igg.castleclash_pt;com.igg.castleclash_ru,2
A Harlan,Castle Clash: Heroes of the Empire US;Google Duo - High Quality Video Calls,com.igg.castleclash;com.google.android.apps.tachyon,2
A Hashem,Google Photos;MAX Cleaner - Antivirus;MX Player Codec (ARMv6),com.google.android.apps.photos;com.oneapp.max.cleaner.booster;com.mxtech.ffmpeg.v6,3
A Herald,Android Accessibility Suite;Google Photos,com.google.android.marvin.talkback;com.google.android.apps.photos,2
A Hernandez,Basketball Stars;Google Duo - High Quality Video Calls;MAX Cleaner - Antivirus,com.miniclip.basketballstars;com.google.android.apps.tachyon;com.oneapp.max.cleaner.booster,3
A Histor,Asphalt Nitro;Real Racing 3,com.gameloft.android.ANMP.GloftAGHM;com.ea.games.r3_na,2
A Hodges,Google Photos;Google Play Music,com.google.android.apps.photos;com.google.android.music,2
A Hughley,Candy Crush Soda Saga;Jewel Match King,com.king.candycrushsodasaga;com.bitmango.go.jewelmatchking,2
A Hunter,Draw Something Classic;Google Duo - High Quality Video Calls;Google Play Music,com.omgpop.dstfree;com.google.android.apps.tachyon;com.google.android.music,3
A I Zayed,Asphalt Nitro;Candy Crush Soda Saga,com.gameloft.android.ANMP.GloftAGHM;com.king.candycrushsodasaga,2
A I,Adobe Photoshop Express:Photo Editor Collage Maker;Google Duo - High Quality Video Calls;Google Photos;Google Play Movies & TV;Google Play Music;Google Sheets;Mini Militia - Doodle Army 2,com.adobe.psmobile;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.videos;com.google.android.music;com.google.android.apps.docs.editors.sheets;com.appsomniacs.da2,7
A Imran,Mini Militia - Doodle Army 2;Video Downloader - for Instagram Repost App,com.appsomniacs.da2;com.popularapp.videodownloaderforinstagram,2
A J N,Facebook Pages Manager;Google Play Music,com.facebook.pages.app;com.google.android.music,2
A J Singh,DEER HUNTER CLASSIC;Mini Militia - Doodle Army 2,com.glu.deerhunt2;com.appsomniacs.da2,2
A J Studio,Google Duo - High Quality Video Calls;Google Photos,com.google.android.apps.tachyon;com.google.android.apps.photos,2
A J,101-in-1 Games Anthology;Adobe Lightroom - Photo Editor;Adobe Lightroom - Photo Editor;Atomic Bomber Full;BLOOD & GLORY;Beat the Boss 4;Candy Crush Soda Saga;Contacts;DEER HUNTER CLASSIC;EA SPORTS UFC®;Facebook Pages Manager;Google Docs;Google Docs;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Photos;Google Photos;Google Photos;Google Photos;Google Photos;Google Photos;Google Photos;Google Photos;Google Play Music;Google Play Music;Google Sheets;Hop;Mine Quest 2 - Mining RPG;Mini Militia - Doodle Army 2;Mini Militia - Doodle Army 2;Mini Militia - Doodle Army 2;My Boo - Your Virtual Pet Game;Samsung Smart Switch Mobile,com.nordcurrent.Games101in1Anthology;com.adobe.lrmobile;com.adobe.lrmobile;org.lukeallen.bomberfull;com.glu.gladiator;com.gamehivecorp.beattheboss4;com.king.candycrushsodasaga;com.google.android.contacts;com.glu.deerhunt2;com.ea.game.easportsufc_row;com.facebook.pages.app;com.google.android.apps.docs.editors.docs;com.google.android.apps.docs.editors.docs;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.music;com.google.android.music;com.google.android.apps.docs.editors.sheets;com.ketchapp.hop;br.com.tapps.minequest2;com.appsomniacs.da2;com.appsomniacs.da2;com.appsomniacs.da2;br.com.tapps.myboo;com.sec.android.easyMover,42
A JOHNSON,Google Duo - High Quality Video Calls;Google Photos,com.google.android.apps.tachyon;com.google.android.apps.photos,2
A Jack,Google Duo - High Quality Video Calls;Google Photos,com.google.android.apps.tachyon;com.google.android.apps.photos,2
A Jacks,Basketball Stars;Google Duo - High Quality Video Calls;Google Photos,com.miniclip.basketballstars;com.google.android.apps.tachyon;com.google.android.apps.photos,3
A Jackson,Basketball Stars;Google Photos,com.miniclip.basketballstars;com.google.android.apps.photos,2
A James,Candy Crush Saga;Google Photos,com.king.candycrushsaga;com.google.android.apps.photos,2
A Javeed,Google Photos;Microsoft Power BI–Business data analytics,com.google.android.apps.photos;com.microsoft.powerbim,2
A Jay,Easy Voice Recorder Pro;Google Photos;Real Racing 3,com.digipom.easyvoicerecorder.pro;com.google.android.apps.photos;com.ea.games.r3_na,3
A Johnson,101-in-1 Games Anthology;Google Play Music;Google Play Music,com.nordcurrent.Games101in1Anthology;com.google.android.music;com.google.android.music,3
A Jones,Candy Crush Saga;Candy Crush Soda Saga;Card Wars Kingdom;Google Docs;Google Photos;Hotspot Shield Free VPN Proxy & Wi-Fi Security;Spades Plus - Card Game,com.king.candycrushsaga;com.king.candycrushsodasaga;com.turner.cardwars2;com.google.android.apps.docs.editors.docs;com.google.android.apps.photos;hotspotshield.android.vpn;net.peakgames.mobile.spades.android,7
A K A tv,Google Play Music;Mini Militia - Doodle Army 2,com.google.android.music;com.appsomniacs.da2,2
A K Azad,Google Duo - High Quality Video Calls;MAX Cleaner - Antivirus,com.google.android.apps.tachyon;com.oneapp.max.cleaner.booster,2
A K RAZVI abdul,Easy Voice Recorder;Google Photos,com.coffeebeanventures.easyvoicerecorder;com.google.android.apps.photos,2
A K,Block! Hexa Puzzle™;Chrome Beta;Facebook Pages Manager;Galaxy Pack;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Photos;Google Photos;Google Photos;Google Photos;Google Photos;Google Play Movies & TV;Google Play Music;Google Play Music;Google Play Music;Hotspot Shield Privacy Wizard;MX Player Pro;MX Player;MX Player;Microsoft Hyperlapse Mobile;Microsoft Power BI–Business data analytics;Video Downloader - for Instagram Repost App,com.bitmango.go.blockhexapuzzle;com.chrome.beta;com.facebook.pages.app;com.maxelus.galaxypacklivewallpaper;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.videos;com.google.android.music;com.google.android.music;com.google.android.music;com.northghost.appsecurity;com.mxtech.videoplayer.pro;com.mxtech.videoplayer.ad;com.mxtech.videoplayer.ad;com.microsoft.hyperlapsemobile;com.microsoft.powerbim;com.popularapp.videodownloaderforinstagram,28
A KATHIRAVAN,Castle Clash: Heroes of the Empire US;MX Player,com.igg.castleclash;com.mxtech.videoplayer.ad,2
A Kalligrapher,Bejeweled Classic;Candy Crush Soda Saga,com.ea.gp.bej3;com.king.candycrushsodasaga,2
A Kam,Disney Crossy Road;Google Photos,com.disney.disneycrossyroad_goo;com.google.android.apps.photos,2
A Kamal,GO Calendar Widget;Google Photos,com.gau.go.launcherex.gowidget.calendarwidget;com.google.android.apps.photos,2
A Kay,Google Duo - High Quality Video Calls;Google Play Music,com.google.android.apps.tachyon;com.google.android.music,2
A Kendise Wood,Google Docs;Solitaire,com.google.android.apps.docs.editors.docs;com.kathleenOswald.solitaireGooglePlay,2
A King,Google Duo - High Quality Video Calls;Google Photos;Mini Militia - Doodle Army 2,com.google.android.apps.tachyon;com.google.android.apps.photos;com.appsomniacs.da2,3
A Knoff,Basketball Stars;Castle Clash: Heroes of the Empire US,com.miniclip.basketballstars;com.igg.castleclash,2
A Krishna,Adobe Acrobat Reader: PDF Viewer;Google Duo - High Quality Video Calls;Google Photos,com.adobe.reader;com.google.android.apps.tachyon;com.google.android.apps.photos,3
A Kumar,Candy Crush Soda Saga;Google Ads - Grow Your Business Online;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Photos;Google Photos;Microsoft Office Lens - PDF Scanner;Microsoft Office Lens - PDF Scanner;Mini Militia - Doodle Army 2;Mini Militia - Doodle Army 2,com.king.candycrushsodasaga;com.google.android.apps.adwords;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos;com.microsoft.office.officelens;com.microsoft.office.officelens;com.appsomniacs.da2;com.appsomniacs.da2,11
A L Prasad,Candy Crush Saga;Papa Pear Saga,com.king.candycrushsaga;com.midasplayer.apps.papapearsaga,2
A L,Candy Crush Soda Saga;Easy Voice Recorder;Google Duo - High Quality Video Calls;Google Photos;My Boo - Your Virtual Pet Game,com.king.candycrushsodasaga;com.coffeebeanventures.easyvoicerecorder;com.google.android.apps.tachyon;com.google.android.apps.photos;br.com.tapps.myboo,5
A Lavanya,Google Play Music;Mini Militia - Doodle Army 2,com.google.android.music;com.appsomniacs.da2,2
A Leap,Google Duo - High Quality Video Calls;Google Photos,com.google.android.apps.tachyon;com.google.android.apps.photos,2
A Lee,Disney Crossy Road;Google Play Music;Heroes of Order & Chaos,com.disney.disneycrossyroad_goo;com.google.android.music;com.gameloft.android.ANMP.GloftHOHM,3
A Lehman,Brink of Consciousness (Full);Candy Crush Saga;Candy Crush Soda Saga,com.bigfishgames.doriangraygoogfull;com.king.candycrushsaga;com.king.candycrushsodasaga,3
A Lien,Cloud Print;Fast Reboot,com.google.android.apps.cloudprint;com.greatbytes.fastreboot,2
A Lloyd J.,Google Duo - High Quality Video Calls;Make7! Hexa Puzzle,com.google.android.apps.tachyon;com.bitmango.go.make7hexapuzzle,2
A Lmnop,Google Duo - High Quality Video Calls;Google Photos,com.google.android.apps.tachyon;com.google.android.apps.photos,2
A Lokesh,Bakery Story: Valentines Day;Bakery Story™;Fashion Story: Cozy Couture;Fashion Story: Enchanted;Fashion Story: Mermaid Cove;Fashion Story: Spring Runway;Fashion Story: Wicked Fit;Fashion Story™,com.teamlava.bakerystory57;com.teamlava.bakerystory;com.teamlava.fashionstory57;com.teamlava.fashionstory45;com.teamlava.fashionstory47;com.teamlava.fashionstory43;com.teamlava.fashionstory56;com.teamlava.fashionstory,8
A Long,Adobe Photoshop Express:Photo Editor Collage Maker;Google Photos,com.adobe.psmobile;com.google.android.apps.photos,2
A Longoria,Block! Hexa Puzzle™;Real Racing 3,com.bitmango.go.blockhexapuzzle;com.ea.games.r3_na,2
A Lopez,Coin Dozer: Haunted Ghosts;Google Photos;Google Photos,com.gamecircus.CoinDozerHaunted;com.google.android.apps.photos;com.google.android.apps.photos,3
A Louise,Google Duo - High Quality Video Calls;My Boo - Your Virtual Pet Game,com.google.android.apps.tachyon;br.com.tapps.myboo,2
A M Khan,Candy Crush Saga;Google Photos;Google Play Movies & TV,com.king.candycrushsaga;com.google.android.apps.photos;com.google.android.videos,3
A M Usmani,Papa Pear Saga;Samsung Push Service,com.midasplayer.apps.papapearsaga;com.sec.spp.push,2
